producer_key,producer,purchase_class,fy,kwh,bdt,audited_column,source_doc
coal power generation company bangladesh ltd,Coal Power Generation Company Bangladesh Limited,ipp,FY2023-24,2832649398.0,17374637505.0,Y,BPDC 2023-24.pdf
coal power generation company bangladesh ltd,Coal Power Generation Company Bangladesh Limited,public,FY2024-25,3686615951.0,33668729185.0,Y,BPDB 2024-25.pdf
confidence power ltd (unit-1),Confidence Power Ltd. (Unit-1),ipp,FY2019-20,199459584.0,2189153968.0,,BPDB 2020-21.pdf
confidence power ltd (unit-1),Confidence Power Ltd. (Unit-1),ipp,FY2020-21,468193056.0,5469183763.0,Y,BPDB 2020-21.pdf
confidence power ltd (unit-1) - bogra,Confidence Power Ltd. (Unit-1) - Bogra,ipp,FY2021-22,613355712.0,10097178928.0,,BPDB 2022-23.pdf
confidence power ltd (unit-1) - bogra,Confidence Power Ltd. (Unit-1) - Bogra,ipp,FY2022-23,454345152.0,8897964352.0,Y,BPDB 2022-23.pdf
confidence power ltd (unit-1) - bogra,Confidence Power Ltd. (Unit-1) - Bogra,ipp,FY2023-24,209827392.0,5819386142.0,Y,BPDC 2023-24.pdf
confidence power ltd (unit-1) - bogra,Confidence Power Ltd. (Unit-1) - Bogra,ipp,FY2024-25,202735104.0,6123300491.0,Y,BPDB 2024-25.pdf
confidence power ltd (unit-2) - bogra,Confidence Power Ltd. (Unit-2) - Bogra,ipp,FY2019-20,223190976.0,3596109041.0,,BPDB 2020-21.pdf
confidence power ltd (unit-2) - bogra,Confidence Power Ltd. (Unit-2) - Bogra,ipp,FY2020-21,447810720.0,5606954875.0,Y,BPDB 2020-21.pdf
confidence power ltd (unit-2) - bogra,Confidence Power Ltd. (Unit-2) - Bogra,ipp,FY2021-22,655152288.0,10851170802.0,,BPDB 2022-23.pdf
confidence power ltd (unit-2) - bogra,Confidence Power Ltd. (Unit-2) - Bogra,ipp,FY2022-23,474997920.0,9336799920.0,Y,BPDB 2022-23.pdf
confidence power ltd (unit-2) - bogra,Confidence Power Ltd. (Unit-2) - Bogra,ipp,FY2023-24,211130496.0,6075475987.0,Y,BPDC 2023-24.pdf
confidence power ltd (unit-2) - bogra,Confidence Power Ltd. (Unit-2) - Bogra,ipp,FY2024-25,239124672.0,6899327374.0,Y,BPDB 2024-25.pdf
confidence power ltd - rangpur,Confidence Power Ltd. - Rangpur,ipp,FY2019-20,283390147.0,3615280274.0,,BPDB 2020-21.pdf
confidence power ltd - rangpur,Confidence Power Ltd. - Rangpur,ipp,FY2020-21,494399990.0,5671576724.0,Y,BPDB 2020-21.pdf
confidence power ltd - rangpur (113mw),Confidence Power Ltd. - Rangpur (113MW),ipp,FY2021-22,623970029.0,10001094642.0,,BPDB 2022-23.pdf
confidence power ltd - rangpur (113mw),Confidence Power Ltd. - Rangpur (113MW),ipp,FY2022-23,429432672.0,8871466117.0,Y,BPDB 2022-23.pdf
