plant_id,plant_name,location,capacity_mw,fuel,fuel_raw,ownership_class,owning_entity,sponsor,commissioning_date,date_precision,commissioning_note,source_doc
bd-chapainawabganj-100-mw-pp-2017,Chapainawabganj 100 MW PP,Chapainawabganj,104.0,hfo,HFO,public,BPDB,,2017-08-12,day,,bpdb_ar2019_20_commissioning
bd-shikalbaha-225-mw-ccpp-2017,Shikalbaha 225 MW CCPP,Shikalbaha,225.0,gas_hsd_dual,Gas/HSD,public,BPDB,,2017-11-08,day,,bpdb_ar2019_20_commissioning
bd-bosila-keraniganj-108-mw-pp-2017,"Bosila, Keraniganj 108 MW PP",Bosila,108.0,hfo,HFO,ipp,,,2017-02-22,day,,bpdb_ar2019_20_commissioning
bd-kushiara-163-mw-ccpp-2017,Kushiara 163 MW CCPP,Kushiara,109.0,gas,Gas,ipp,,,2017-07-25,day,,bpdb_ar2019_20_commissioning
bd-shorishabari-solar-plant-2017,Shorishabari Solar plant,Shorishabari,3.0,solar,Solar,ipp,,,2017-08-03,day,,bpdb_ar2019_20_commissioning
bd-kamalaghat-50-mw-pp-2018,Kamalaghat 50 MW PP,Kamalaghat,54.0,hfo,HFO,ipp,,,2018-01-01,day,,bpdb_ar2019_20_commissioning
bd-noapara-100-mw-pp-bangla-track-2018,Noapara 100 MW PP (Bangla Track),Noapara,100.0,hsd,HSD,ipp,Bangla Track,Bangla Track,2018-04-18,day,,bpdb_ar2019_20_commissioning
bd-kusiara-163-mw-ccpp-2018,Kusiara 163 MW CCPP,Kusiara,54.0,gas,Gas,ipp,,,2018-04-27,day,,bpdb_ar2019_20_commissioning
bd-daudkandi-200-mw-pp-2018,DaudKandi 200 MW PP,DaudKandi,200.0,hsd,HSD,ipp,,,2018-04-27,day,,bpdb_ar2019_20_commissioning
bd-kodda-gazipur-300-mw-pp-summit-2018,"Kodda, Gazipur 300 MW PP (Summit)",Kodda,300.0,hfo,HFO,ipp,Summit,Summit,2018-05-10,day,,bpdb_ar2019_20_commissioning
bd-bheramara-360-mw-ccpp-st-unit-2018,Bheramara 360 MW CCPP (ST unit),Bheramara,132.0,gas_hsd_dual,Gas/HSD,public,NWPGCL,,2018-01-01,day,,bpdb_ar2019_20_commissioning
bd-barapukuria-275-mw-3rd-unit-2018,Barapukuria 275 MW (3rd Unit),Barapukuria,274.0,coal_domestic,Coal,public,BPDB,,2018-01-01,day,,bpdb_ar2019_20_commissioning
bd-ghorashal-365-mw-ccpp-2018,Ghorashal 365 MW CCPP,Ghorashal,365.0,gas,Gas,public,BPDB,,2018-02-05,day,,bpdb_ar2019_20_commissioning
bd-sirajganj-225-mw-ccpp-2nd-unit-2018,Sirajganj 225 MW CCPP (2nd Unit),Sirajganj,220.0,gas_hsd_dual,Gas/HSD,public,NWPGCL,,2018-02-05,day,,bpdb_ar2019_20_commissioning
bd-siddhirganj-335-mw-ccpp-2018,Siddhirganj 335 MW CCPP,Siddhirganj,217.0,gas,Gas,public,EGCB,,2018-04-30,day,"GT: 30 April, 2018",bpdb_ar2019_20_commissioning
bd-sirajganj-225-mw-ccpp-3rd-unit-2018,Sirajganj 225 MW CCPP (3rd Unit),Sirajganj,141.0,gas_hsd_dual,Gas/HSD,public,NWPGCL,,2018-08-09,day,"GT: 9 August, 2018",bpdb_ar2019_20_commissioning
bd-bramhongaon-keraniganj-100-mw-pp-2018,"Bramhongaon, Keraniganj 100 MW PP",Bramhongaon,100.0,hsd,HSD,ipp,,,2018-05-30,day,,bpdb_ar2019_20_commissioning
bd-mymensingh-200-mw-pp-2018,Mymensingh 200 MW PP,Mymensingh,200.0,hfo,HFO,ipp,,,2018-06-16,day,,bpdb_ar2019_20_commissioning
bd-aowrahati-keranigonj-100-mw-aggreko-2018,"Aowrahati, Keranigonj 100 MW (Aggreko)",Aowrahati,100.0,hsd,HSD,ipp,Aggreko,Aggreko,2018-06-29,day,,bpdb_ar2019_20_commissioning
bd-kadda-149-mw-pp-2018,Kadda 149 MW PP,Kadda,149.0,hfo,HFO,ipp,,,2018-07-12,day,,bpdb_ar2019_20_commissioning
bd-pangaon-keraniganj-300-mw-pp-fast-track-2018,"Pangaon, keraniganj 300 MW PP (fast track)",Pangaon,300.0,hsd,HSD,ipp,,,2018-08-10,day,,bpdb_ar2019_20_commissioning
bd-power-import-2nd-hvdc-2018,Power import (2nd HVDC),Power,500.0,import,Import,import,BPDB,,2018-09-10,day,,bpdb_ar2019_20_commissioning
bd-teknaf-coxsbazar-20-mw-solar-park-2018,"Teknaf, Coxsbazar 20 MW solar park",Teknaf,20.0,solar,Solar,ipp,,,2018-09-15,day,,bpdb_ar2019_20_commissioning
bd-sirajganj-40010-mw-ccpp-2018,Sirajganj 400±10 MW CCPP,Sirajganj,282.0,gas_hsd_dual,Gas/HSD,ipp,,,2018-10-04,day,"GT: 04 October, 2018",bpdb_ar2019_20_commissioning
